station,load
TIRUPADRIPULYUR,22
TAKIA          ,2
DUMURDAHA      ,2
TARGAON        ,5
CHOLA          ,5
IZZATNAGAR     ,6
FAKIRAGRAM JN  ,17
ANGAMALI       ,44
ASIFABAD ROAD  ,2
MOHADI PRGN LNG,2
PIRTHIGANJ     ,1
SOLAPUR JN     ,100
HALDIA         ,4
PALITANA       ,2
TIMARNI        ,15
NAGAPPATTINAM  ,10
ANGAR          ,2
CHAUK          ,2
GONDWANAVISAPUR,2
CHANDIL JN     ,21
GHAZIPUR CITY  ,30
JIGNA          ,1
RAJPURA JN     ,59
GANDHINAGAR CAP,6
RATLAM JN      ,127
BARWAHA        ,4
SINGARAYAKONDA ,27
JASIDIH JN     ,116
TIKIRI         ,6
TUREKALA ROAD  ,2
LATUR          ,20
KHATIPURA      ,2
PURI           ,82
DALIGANJ       ,6
KARAIKKUDI JN  ,16
MUKTAPUR       ,1
SABLI ROAD     ,2
CHORGHATPIPARIA,7
BARA JAMDA     ,6
BEHTAGOKUL     ,2
SINDI          ,9
HINGOLI DECCAN ,26
GANGARAMPUR    ,4
KOVILPATTI     ,54
KHALARI        ,13
MANCHESWAR     ,16
RAZAMPETA      ,35
NERGUNDI       ,15
KIUL JN        ,134
NARWANA JN     ,29
KAILAHAT       ,2
SWARUPGANJ     ,4
MIHRAWAN       ,2
BIJAINAGAR     ,23
HAZARIBAGH RD  ,24
JEUR           ,19
BHATAPARA      ,73
BELGHARIA      ,1
VALIGONDA      ,2
SOMESHWARA     ,2
POLUR          ,4
YALVIGI        ,4
HARCHANDPUR    ,16
BUTARI         ,2
THARSA         ,2
MAGRA          ,1
UDGIR          ,16
KAPREN         ,8
RAJANKUNTI     ,4
HARRAWALA      ,2
LONAND         ,7
JOYCHANDI PAHAR,19
BHADBHADAGHAT  ,2
MODNIMB        ,8
MAKRERA        ,2
MUDDANURU      ,14
KUMBHRAJ       ,8
UKLANA         ,2
SANTALDIH      ,6
GHATKESAR      ,6
REPALLE        ,4
MAHUDA         ,4
KANDRA         ,11
CHITRAKOT      ,21
MUDIGUBBA      ,2
PONDUGULA      ,2
SALWA          ,1
CHANDAWAL      ,2
JITAKHERI      ,2
ALAMPUR ROAD   ,1
MERTA ROAD JN  ,71
WENA           ,4
GANAUR         ,15
MALAKHERA      ,7
BAGALKOT       ,18
FALAKNUMA      ,4
BOMADRA        ,2
MAHOLI         ,2
NANDRE         ,1
NERAL          ,3
FARAH TOWN     ,2
WARORA         ,15
UMAR TALI      ,2
MANKAR         ,7
TETELIA        ,2
KENDUJHARGARH  ,4
ANNAVARAM      ,50
DEWANGANJ      ,5
UGRASENPUR     ,7
TADWAL         ,8
KAMALNAGAR     ,6
SULTANPUR LODI ,4
DAVANGERE      ,49
MURHIPAR       ,1
ASARVA JN      ,2
LAOPANI        ,2
DULIAJAN       ,8
BILWAI         ,4
URKURA         ,1
CHACHAURA BNGJ ,12
BHATTIPROLU    ,4
ANKORAH AKORHA ,10
HARRI          ,8
BUDVEL         ,3
SAINTALA       ,7
KANIL          ,4
LAL KUAN       ,22
AYODHYA        ,42
CHINNA GANJAM  ,13
KARAIKAL       ,6
HIRENANDURU    ,2
AHMADGARH      ,9
CHANETI        ,3
PARBATI        ,9
ASHOKAPURAM    ,2
KADAMBUR       ,10
RAGHURAJ SINGH ,2
VEDCHHA        ,5
PALANI         ,2
BARGARH ROAD   ,42
ALANDI         ,1
PARTAPGARH JN  ,51
DHAMPUR        ,15
BILIMORA JN    ,22
FAZILKA        ,2
MEGHNAGAR      ,42
MANGELA        ,2
EDDULADODDI    ,4
GUDIMETTA      ,6
PANDURANGAPURAM,2
MANKAPUR JN    ,53
MARAMJHIRI     ,2
TAKU           ,2
RUPSA JN       ,6
MALARNA        ,8
PHILLAUR JN    ,37
MUNABAO        ,2
KRISHNARAJAPURM,81
CHATA          ,9
GOSSAIGAON HAT ,6
KHAGA          ,9
SAHIBPUR KML JN,8
JAMBARA        ,3
KAYANKULAM JN  ,94
ADI SAPTAGRAM  ,1
KUMBAKONAM     ,24
CHAWAPALL      ,2
KOTI           ,2
DEVARAPALLI    ,2
VIRDEL ROAD    ,1
VAITARNA       ,2
JIAGANJ        ,10
RANPUR         ,6
LAMBHUA        ,12
DAHOD          ,68
THOKUR         ,24
CHILUVUR       ,2
AMAUSI         ,1
DHAVALAS       ,2
BHALUI         ,10
PULLA          ,4
JHARILI        ,2
CHHOTI ODAI    ,2
BADARWAS       ,4
MANDAWAR M RD  ,10
BALLY          ,1
ITWARI         ,15
NOKHA          ,38
DWARKA         ,30
HOLALKERE      ,3
ALMATTI        ,12
GIDAM          ,2
KALYANI        ,4
MAMDAPUR HALT  ,2
GOP JAM        ,2
PIPLA HALT     ,3
PATHARIA       ,21
SOHWAL         ,9
BHAGWANPUR     ,10
KADAYANALLUR   ,2
VELDURTI       ,2
BIDANPUR       ,1
KARPURIGRAM    ,8
DEVRI P.H      ,3
BILASPUR ROAD  ,10
KOLAYAT        ,2
EKMA           ,11
NEW BONGAIGAON ,94
BHILAI PWR HS  ,35
SANVERDAM CHUCH,14
PURNA JN       ,71
SAUSAR         ,6
KHARESHWAR ROAD,2
RAYBAG         ,10
NANDURA        ,23
VIRANI ALUR    ,3
HEBSUR         ,2
CHALLAVARIPALLE,2
JUTOGH         ,6
VILLUPURAM JN  ,94
VIJIYPUR JAMMU ,18
MISRAULI       ,5
VIROCHANNAGAR  ,2
UKAI SONGADH   ,7
BIRLANAGAR     ,2
GAUSHALA       ,2
PANTNAGAR      ,2
NALANDA        ,7
TIMBARVA       ,5
ARNETHA        ,2
GUDAPARTI      ,2
KALMESHWAR     ,2
MAHROI         ,2
PATAS          ,8
NUNKHAR        ,2
BANAPURA       ,13
SITALPUR       ,4
MOKHOLI        ,2
MAKUDI         ,2
DUMARIYA       ,2
CHIRMIRI       ,9
JUTURU         ,2
SRIRAMNAGAR    ,7
DALSINGH SARAI ,33
JAMALPUR JN    ,55
NALWAR         ,15
JULANA         ,7
SAMBHAR LAKE   ,13
CHERIYANAD     ,2
HALDIBARI      ,6
TIRUPPUR       ,125
KANIWARA       ,2
BADMAL         ,12
BILGA          ,2
SANGLI         ,36
SHELGAON       ,4
DHARIWAL       ,7
REWARI         ,78
HANWANT        ,2
BHANDARA ROAD  ,38
ANK MMR DIRECT ,36
BAIKUNTH       ,2
KALHAR         ,7
CHITTARANJAN   ,88
ISAND          ,2
MOTIPUR        ,10
SHERTALAI      ,29
MANGAL MAHUDI  ,1
TADEPALLIGUDEM ,69
DATIVLI        ,4
DUMKA          ,2
DHATRIGRAM     ,1
BOBAS          ,3
BAITALPUR      ,2
PATCHUR        ,2
KALIANPUR      ,3
MAYYANAD       ,8
RAJAPUR ROAD   ,8
SANGANNAPUR    ,4
GURHI          ,4
AIT            ,11
LIMBGAON       ,7
PARSNEU        ,4
HASTAVARAMU    ,2
ONTIMITTA      ,2
RANGAPARA NORTH,6
ANAVARDIKHANPET,2
SAMASTIPUR JN  ,102
JALSU          ,2
GAZOLE         ,6
BAGRA TAWA     ,6
BHOJIPURA JN   ,6
RENIGUNTA JN   ,136
WARIS ALEGANJ  ,4
RATHDHANA      ,1
LUNKARANSAR    ,16
SONBARSA KCHERI,2
NARAYANAPURAM  ,2
HAJIPUR JN     ,97
NAGARUR        ,4
KADALUNDI      ,2
SAMSI          ,17
BALAGARH       ,2
CHAKRADHARPUR  ,59
BUTI BORI      ,2
NANGUNERI      ,10
TANAKPUR       ,2
BATHINDA CANTT.,3
PRANTIK        ,18
DADPUR         ,2
BAKANIAN BHAUNR,3
PANVEL         ,80
NILESHWAR      ,18
PATNA JN       ,191
BETAVAD        ,4
SAIYID SARAWAN ,3
VERAVAL        ,14
PIPAR ROAD JN  ,7
MUNDERWA       ,2
KASARA         ,24
MANIGRAM       ,2
SARDARNAGAR    ,3
SHRI MADHOPUR  ,6
JAIPUR         ,172
BISRA          ,8
BELDA          ,12
SUWASRA        ,15
DABTARA        ,8
AJARAKA        ,2
SIMHACHALAM    ,28
NIYOL          ,5
TINDIVANAM     ,32
FARIDABAD      ,73
KAKARGHATTI    ,4
TATIBAHAR      ,2
DHONDI         ,4
BHUJ           ,16
CHARLAPALLI    ,9
KENGERI        ,32
SARDIHA        ,2
APTA           ,4
OBAIDULLA GANJ ,12
MAHANADI       ,2
BORIVALI       ,120
S VENKTESWRPALM,2
KOMAKHAN       ,2
BASTI          ,78
MAJHOLA PAKARYA,2
DUGGIRALA      ,8
NAGLATULA      ,2
SAFILGUDA      ,2
TAKARI         ,11
OMKARESHWAR RD ,4
DUM DUM        ,19
KANTAKAPALLE   ,4
BAIGUDA        ,2
OTTAPPALAM     ,40
MADANKATA      ,2
ANAS           ,4
BISUGIRSHARIF  ,2
NIDHANI        ,3
SAKHPUR        ,2
RAFIGANJ       ,17
SILAO          ,2
SHOLAVANDAN    ,11
AMARDA ROAD    ,2
ANGUL          ,43
GUNDARDEHI     ,2
BARWA SAGAR    ,6
ANANTAPUR      ,76
DEVI HALT      ,4
PANAGARH       ,25
MUKTSAR        ,2
DELHI          ,127
PANDAUL        ,6
KAKIRIGUMMA    ,2
SOMRA BAZAR    ,2
LOLIEM         ,2
KALAMB ROAD    ,2
MANDI DHANAURA ,7
DESHNOK        ,18
DALMERA        ,4
GUNTUR JN      ,58
SUBEDARGANJ    ,6
CHAKUR         ,2
NAGPUR ROAD    ,4
BALASORE       ,123
PORBANDAR      ,14
KAJRAT NAWADIH ,6
ATTUR          ,6
KYATANEAKERI RD,2
VRIDHACHALAM JN,53
RAY            ,9
MOHOL          ,10
NANDURBAR      ,62
PUGALUR        ,12
AMBALE         ,1
OBULAVARIPALLI ,8
GANGAGANJ      ,4
PEDDADINNE     ,1
SIRAJNAGAR  H  ,2
UNGUTURU       ,4
KAKORI         ,4
BHANWAR TONK   ,8
ROURKELA       ,87
KILIKOLLUR     ,2
MUKHTIAR BALWAR,4
SIDDHPUR       ,24
BHATNI JN      ,50
REOTI B KHERA  ,4
MANHERU        ,2
JABALPUR       ,163
JALPAIGURI     ,6
MEDAPADU       ,5
ERNAKULAM TOWN ,80
NAIKHERI       ,3
PAYRADANGA     ,1
PATHRALA       ,3
POWERKHEDA     ,2
MALLIVIDU      ,2
DALMAU JN      ,2
BHAGWANGOLA    ,8
JAITIPUR       ,1
HOWRAH JN      ,230
DAUSA          ,50
TENALI JN      ,89
MANENDRAGARH   ,9
TO DARJEELING  ,6
DHEENA         ,2
CHATTRIPUT     ,2
CHENNASANDRA   ,2
CHALLAKERE     ,4
CHIKNI ROAD    ,2
RAOTI          ,4
DILMILI        ,2
BELA TAL       ,4
NAVAGADH       ,8
SHIVAJI BRIDGE ,2
BELA           ,6
BANGROD        ,6
KARGI ROAD     ,17
UNKAL          ,2
BHARATPUR JN   ,79
VILAYATKALAN RD,3
KIKAKUI ROAD   ,5
DOIKALLU       ,2
GEGAL AKHRI    ,2
PALANA         ,2
LONI           ,8
BALOTRA JN     ,10
RANAGHAT JN    ,10
PILIBHIT JN    ,6
KARIGANURU     ,4
GAMHARIA       ,6
SUWANSA        ,1
HOLE ALUR      ,8
JARTI          ,2
SENAPURA       ,2
AGRA CANTT     ,155
PENNADAM       ,5
MAYAKONDA      ,4
ASALPUR JOBNER ,21
AGASOD         ,4
GUMMIDIPUNDI   ,2
BHITONI        ,2
MARWAR JN      ,86
PAMIDI         ,2
MARWAR MATHANYA,6
BAURIA JN      ,4
BHAVNAGAR TRMUS,16
SHIROOR        ,2
MODRAN         ,8
W R S COLONY PH,2
ANAND VIHAR TRM,53
PANJGAM        ,2
PHULAD         ,2
CHAKDAHA       ,4
RATNAGIRI      ,62
DHARUADIHI     ,4
JORAVARNAGAR   ,17
BAYANA JN      ,41
PHEPHNA JN     ,5
MANUBOLU       ,1
SEALDAH        ,54
RATNAPUR       ,2
PIPLODA BAGLA  ,3
HINDAUN CITY   ,33
KAWARGAON      ,2
MORKADHANA     ,2
SHENDRI        ,2
PACHWAN        ,3
DESWAL         ,2
KIRODIMALNAGAR ,4
SHIVANI        ,5
AMRITSAR JN    ,82
KALANWALI      ,4
PARASHSHALA    ,10
ALLURU ROAD    ,1
KARUNAGAPALLI  ,33
TRIBENI        ,2
LACHHMANPUR    ,10
HARDAS BIGHA   ,4
BAGWADA (HALT) ,2
USMANABAD      ,20
JANWAL         ,6
BARAHAT        ,2
KHODRI         ,8
HANAKERE       ,4
DHINDA         ,3
JATUSANA       ,2
HODAL          ,2
SHIMILIAGUDA   ,2
SINDHAWADAR    ,4
MALKISAR       ,4
BORDI          ,4
DABIRPURA      ,2
KOTMA          ,14
BHONGIR        ,18
KAMSHET        ,6
SANT ROAD      ,4
CHILKA         ,10
TALAMANCHI     ,1
BIJNI          ,2
RUPBAS         ,6
AJNOD          ,2
HIMMATNAGAR    ,2
ALUABARI ROAD  ,24
NIRA           ,7
KANCHIPURAM    ,4
BAIRAGNIA      ,8
JUNG BAHADURGNJ,2
MANGALORE CNTL ,42
KHURJA JN      ,30
KOLVAGRAM      ,2
KAPTANGANJ JN  ,16
RAHENBATA      ,2
NIDADAVOLU JN  ,57
KONNUR         ,1
CHIHERU        ,1
PUNKUNNAM      ,19
KULHARIA       ,8
MADGAON        ,85
BAGWALI        ,4
ULUBARIA       ,14
KALIKIRI       ,6
CHALAMA        ,6
DANKUNI        ,11
NARSINGHPUR    ,66
BHUSANDPUR     ,8
POTLAPADU      ,4
SONAKHAN       ,4
SUJANGARH      ,8
BABRALA        ,4
JIYAPURAM      ,1
NARAYANPUR     ,12
DANDUPUR       ,7
KUNDAPURA      ,26
CHAKULIA       ,14
HALDAUR        ,7
PULLAMPET      ,6
PACHHAPUR      ,2
BORIDAND       ,12
NAGARWARA      ,7
KOLNUR         ,2
CHAKIA         ,14
BAROG          ,8
SURPURA        ,2
CHIGICHERLA    ,4
S BHAKHTIYARPUR,12
KOMALI         ,2
GANGAKHER      ,20
DUMURIPUT      ,2
PATANSAONGI    ,4
JALANDHAR CITY ,90
JAMSAR         ,4
NAWA CITY      ,17
HAIDERGARH     ,8
BETUL          ,84
PEDANA         ,7
PAYAGPUR       ,2
CHANNANI       ,2
BHONGAON       ,4
KUMSI          ,2
BHESTAN        ,5
MUHAMMADGANJ   ,10
KHANA JN       ,6
JAGUDAN        ,2
MANDAVALLI     ,4
GOTLAM         ,2
DEVPURA        ,2
JHAJHA         ,105
BHALUMASKA     ,2
GOUR MALDA     ,2
VYARA          ,19
VENKATNAGRA    ,8
HATPURAINI     ,2
RAPARLA HALT   ,2
KHAMMAM        ,86
ITIKYALA       ,1
KANKAVALI      ,24
SAGONI         ,3
VENDRA         ,4
MANIKUL        ,2
GILL           ,2
N GHAZIABAD    ,8
SARAGAON RD HLT,1
BANDRA TERMINUS,81
HATIA          ,32
BOKARO THERMAL ,4
INDI ROAD      ,14
SATHAJAGAT     ,1
SADULSHAHR     ,2
KATOL          ,27
ANAKAPALLE     ,70
GUMTHAL        ,2
SADISOPUR      ,10
WANKANER JN    ,51
PIPARDAHI      ,2
UTTUKULI       ,3
FAIZABAD JN    ,61
MADHUBANI      ,16
VERNA          ,2
ABU ROAD       ,93
MINCHNAL       ,6
PANIPAT JN     ,82
KUANRIYA       ,2
JHARSUGUDA JN  ,94
LAKHOLI        ,2
KAKAPORA       ,2
ALLAHABAD CITY ,25
KOTALA         ,2
BHOMA          ,2
KURLAS         ,1
SAMBALPUR      ,61
AMBALA CITY    ,41
IDAPLLI        ,7
BHEJA          ,2
KALINARYNPUR JN,3
JEJURI         ,7
MANDALGARH     ,8
CHARVATTUR     ,20
TALCHER ROAD   ,34
HARISCHANDRPUR ,17
JABLI          ,2
AMRAVATI       ,11
KALAMALLA      ,2
SANK           ,1
DULLAHAPUR     ,13
AMROHA         ,44
BELLAMKONDA    ,3
POKHARNI NRSNHA,4
KENDRAPARA ROAD,1
ANTAH          ,8
SAMBA          ,28
NAWADAH        ,4
VAILAPUZHA     ,2
EKCHARI        ,10
BANKURA        ,40
SURER          ,2
KADETHAN       ,7
AUWA           ,2
BILHAR GHAT    ,1
KIRAOLI        ,6
ULLAL          ,2
KHAJURAHO      ,6
SANGMESHWAR    ,10
CHANDI MANDIR  ,8
MELATTUR       ,2
BAHADURGARH    ,33
MUNIRABAD      ,9
TIRUKOILUR     ,6
HOL            ,4
BHOPALKA       ,4
DHODHAR        ,5
DEOGHAR        ,2
KELOD          ,4
RURA           ,16
GULABPURA      ,2
JAWALI         ,4
ADGAON BUZURG  ,4
SARAI          ,2
SITABINJ       ,2
JALGAON JN     ,141
DINKAR GRAM SIM,6
SULTANPUR      ,50
GUMIA          ,6
CHANDAN NAGAR  ,11
RAGHUNATHPUR   ,18
UNJALUR        ,18
SHEIKPURA      ,4
MAHUGARHA      ,4
NARANGI        ,4
SURAIMANPUR    ,28
UTRAN          ,4
KESAVARAM      ,2
KUSMHI         ,2
SHAHGANJ JN    ,53
KOTHACHERUVU   ,2
GIDDALUR       ,18
CHAINPUR       ,4
BANI           ,4
BANKA          ,2
MUZZAMPUR NRYN ,9
LALAWADI       ,1
TALWANDI       ,2
SHORANUR JN    ,112
MAHOBA         ,18
KOSGI          ,6
SAMUDRAGARH    ,1
BORIBIAL       ,2
BOHANI         ,2
SONWARA        ,2
MAHALI MARUP   ,6
SANTALPUR      ,4
SARASWATINAGAR ,2
KAPPIL         ,2
KAURHA         ,2
RAMGIRI        ,3
CHENNAI BEACH  ,34
ASANSOL JN     ,190
BORRAGUHALLU   ,2
MADAN MAHAL    ,29
GANJ BASODA    ,48
ADAVALI        ,6
MARWASGRAM     ,4
BHATINDA JN    ,50
DIWANKHAVATI   ,4
KHARWA CHANDA  ,2
BORHAT         ,4
DHUBULIA       ,4
KANDAGHAT      ,6
THANE          ,146
NAGAR UNTARI   ,12
APPIKATLA      ,2
SIRATHU        ,9
SHRI BALAJI    ,2
LAJPAT NAGAR   ,3
MARTHIPALAYAM  ,2
JINTI ROAD     ,2
KADUR          ,30
SAKALDIHA      ,8
GUDHA          ,2
PANSKURA       ,25
GORESUAR       ,2
HAIAGHAT       ,12
HADDINAGUNDU   ,4
LUCKEESARAI JN ,50
UNCHHERA       ,19
SEYDUNGANALLUR ,2
HAGARI         ,4
SAGADAPATA     ,2
MANAURI        ,3
DAGHORA        ,4
ADHARTAL       ,4
PHULESWAR      ,4
KARONJI        ,4
GURGAON        ,61
AMBARNATH      ,6
SILIGURI JN    ,21
RAMNAGAR BENGAL,4
DANWAR         ,1
DESHAPRAN P.H. ,2
PAPANASAM      ,10
BIRAMDIH       ,2
LAHABON        ,2
TODARPUR       ,2
BANSI PAHARPUR ,2
PARSODA        ,5
SIKANDARPUR    ,1
TANAKALLU      ,2
KHALILPUR      ,1
JORAVASAN      ,2
CHATRAPPATTI   ,2
BHERAGHAT      ,2
KHERLI         ,12
MURI           ,67
KESHOD         ,14
SAIJ SERTHA RD ,2
LELIGUMA       ,2
ONDAGRAM       ,8
DANEA          ,2
KOHIR DECCAN   ,2
SINGRAULI      ,19
TAMNA          ,2
PATHRAD        ,5
AKANAPET       ,8
KISHANGARH     ,68
MURTAJAPUR     ,32
PANPALI        ,4
BANTA RNATHGARH,2
VALAPATTANAM   ,4
DHABAN         ,8
MORAK          ,7
MAHIPAL ROAD   ,2
UNTARE ROAD    ,10
RAJAWARI       ,2
SAUGOR         ,63
LAKODARA       ,2
MANWATH ROAD   ,26
MANDHAR        ,2
CHIRALA        ,65
REWRAL         ,2
ATTAR          ,4
RANJANI        ,6
WIHIRGAON      ,2
AMARPURA RATHAN,2
KAKINADA TOWN  ,20
KANNAUJ        ,22
MAHWA          ,2
NENPUR         ,4
SONADANGA      ,4
BHATIYA        ,8
BYADGI         ,4
SARONA         ,2
PENUKONDA      ,12
RAMPARDA       ,4
DELANG         ,2
MOR            ,14
TUFANGANJ      ,2
JHARRADIH      ,4
SARKONI        ,1
RISHIKESH      ,4
TIRUCHRPLI PLKI,1
DHAUNI         ,2
GORINJA        ,2
BIBINAGAR      ,11
MEERUT CITY    ,54
GATORA         ,5
JHALAWAR ROAD  ,12
SANGOLA        ,11
C SHAHUMHARAJ T,27
DOLAJI KA KHERA,2
MIRYALAGUDA    ,30
MALLICKPUR HAT ,2
KHATIMA        ,2
GAUTAMDHARA    ,27
LINGAMGUNTLA   ,2
KAITHAL        ,2
THANA BIHPUR JN,19
ODDANCHATRAM   ,2
TIKUNIA        ,2
OKHA MADHI     ,2
ISMAILA HARYANA,1
BASSI PATHANAM ,2
ROHA           ,23
AGRA CITY      ,8
NARAINA        ,19
WYNDHAMGANJ    ,10
SIKARPAI       ,2
MORBI          ,4
ASOKHAR        ,2
NIVASAR        ,2
BIRUR JN       ,50
MUMBAI CST     ,101
ERRUPALEM      ,4
CHAMAGRAM      ,2
KOPA SAMHOTA   ,1
PATHANKOT      ,17
BAWAL          ,5
SITAPUR        ,3
PADSE          ,4
MARWAR LOHWAT  ,4
LUDHIANA JN    ,176
KOTTA PNDLPALLI,2
KHALILABAD     ,56
KODUMUDI       ,8
VALIVADE       ,9
RAIGIR         ,4
KARAILA ROAD JN,6
